90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
90030,10,50009,90030,55,50009,90030,15,500,90024
